,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Year,Manufacturer,Total.Passengers,Percentage.Seriously.Injured.or.Killed,Percentage.Uninjured
45869,20001205X00419,ATL99LA067,1999-04-05,"LANTANA, FL",United States,Non-Fatal,Substantial,De Havilland,DHC-6-200,2.0,Turbo Prop,Unknown,0.0,0.0,6.0,4.0,VMC,Probable Cause,1999,,10.0,0.0,40.0
45893,20001205X00430,CHI99IA136,1999-04-09,"DUBUQUE, IA",United States,Incident,,Mcdonnell Douglas,DC-9-32,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,91.0,IMC,Probable Cause,1999,Mcdonnell Douglas,91.0,0.0,100.0
46053,20001212X18718,CHI99LA145,1999-05-05,"CHICAGO, IL",United States,Non-Fatal,,Boeing,737-222,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,47.0,IMC,Probable Cause,1999,Boeing,48.0,2.083333333333333,97.91666666666666
46069,20001212X18850,NYC99FA110,1999-05-08,"JAMAICA, NY",United States,Non-Fatal,Substantial,Saab-Scania Ab (Saab),340B,2.0,Turbo Prop,Unknown,0.0,1.0,0.0,29.0,IMC,Probable Cause,1999,,30.0,3.3333333333333335,96.66666666666667
46098,20001212X18736,DCA99IA058,1999-05-11,"MIAMI, FL",United States,Incident,,Airbus Industrie,300-600,,Unknown,Unknown,0.0,0.0,0.0,129.0,VMC,Probable Cause,1999,Airbus,129.0,0.0,100.0
46203,20001212X18874,NYC99LA122,1999-05-25,"NEWARK, NJ",United States,Non-Fatal,,Boeing,737,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,76.0,VMC,Probable Cause,1999,Boeing,77.0,1.2987012987012987,98.7012987012987
46214,20001212X18876,NYC99LA127,1999-05-28,"STERLING, VA",United States,Non-Fatal,Substantial,Boeing,727,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,90.0,VMC,Probable Cause,1999,Boeing,90.0,0.0,100.0
46256,20001212X18961,DCA99MA060,1999-06-01,"LITTLE ROCK, AR",United States,Fatal(11),Destroyed,Mcdonnell Douglas,MD-82,2.0,Turbo Fan,Unknown,11.0,45.0,65.0,24.0,IMC,Probable Cause,1999,Mcdonnell Douglas,145.0,38.62068965517241,16.551724137931036
46257,20001212X19015,LAX99FA207,1999-06-02,"PHOENIX, AZ",United States,Non-Fatal,Substantial,Boeing,757-232,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,127.0,VMC,Probable Cause,1999,Boeing,127.0,0.0,100.0
46284,20001212X19017,LAX99FA218B,1999-06-06,"LOS ANGELES, CA",United States,Non-Fatal,Substantial,Boeing,747-SP,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,699.0,VMC,Probable Cause,1999,Boeing,699.0,0.0,100.0
46293,20001212X19017,LAX99FA218A,1999-06-06,"LOS ANGELES, CA",United States,Non-Fatal,Minor,Boeing,747-4F6B,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,699.0,VMC,Probable Cause,1999,Boeing,699.0,0.0,100.0
46301,20001212X19049,MIA99FA168,1999-06-08,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,Cessna,402C,2.0,Reciprocating,Unknown,0.0,0.0,0.0,10.0,IMC,Probable Cause,1999,Cessna,10.0,0.0,100.0
46335,20001212X18945,CHI99LA184,1999-06-11,"MADISON, WI",United States,Non-Fatal,,Boeing,777-222,2.0,Turbo Fan,Unknown,0.0,1.0,8.0,287.0,VMC,Probable Cause,1999,Boeing,296.0,0.33783783783783783,96.95945945945947
46422,20001212X19019,LAX99FA225,1999-06-23,"VAN NUYS, CA",United States,Non-Fatal,Substantial,Cessna,402A,2.0,Reciprocating,Positioning,0.0,0.0,13.0,1.0,VMC,Probable Cause,1999,Cessna,14.0,0.0,7.142857142857142
46440,20001212X19021,LAX99IA230,1999-06-25,"SAN DIEGO, CA",United States,Incident,,Boeing,DC-9-82,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,141.0,VMC,Probable Cause,1999,Boeing,141.0,0.0,100.0
46442,20001212X19008,FTW99LA207,1999-06-25,"LAFAYETTE, LA",United States,Non-Fatal,,Boeing,737-3H4,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,141.0,IMC,Probable Cause,1999,Boeing,142.0,0.7042253521126761,99.29577464788733
46468,20001212X18933,CHI99IA204,1999-06-29,"CHICAGO, IL",United States,Incident,Minor,Boeing,767-323,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,186.0,VMC,Probable Cause,1999,Boeing,186.0,0.0,100.0
46597,20001212X19345,NYC99LA177,1999-07-15,"JAMAICA, NY",United States,Non-Fatal,Substantial,Airbus Industrie,A-300-600ER,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,190.0,VMC,Probable Cause,1999,Airbus,190.0,0.0,100.0
46674,20001212X19309,LAX99LA322,1999-07-24,"PHOENIX, AZ",United States,Non-Fatal,Substantial,Boeing,757-2G7,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,196.0,VMC,Probable Cause,1999,Boeing,196.0,0.0,100.0
46710,20001212X19260,FTW99FA201,1999-07-28,"LITTLE ROCK, AR",United States,Fatal(1),Minor,Aerospatiale,ATR-42-500,2.0,Turbo Prop,Unknown,1.0,0.0,0.0,36.0,VMC,Probable Cause,1999,,37.0,2.7027027027027026,97.2972972972973
46740,20001212X19228,CHI99MA269,1999-07-31,"MARINE CITY, MI",United States,Fatal(10),Destroyed,Beech,65-A90,2.0,Turbo Prop,Skydiving,10.0,0.0,0.0,0.0,VMC,Probable Cause,1999,Beech,10.0,100.0,0.0
46770,20001212X19480,DEN99IA136B,1999-08-05,"DENVER, CO",United States,Incident,Minor,Beech,C90A,2.0,Turbo Prop,Business,0.0,0.0,0.0,22.0,IMC,Probable Cause,1999,Beech,22.0,0.0,100.0
46771,20001212X19480,DEN99IA136A,1999-08-05,"DENVER, CO",United States,Incident,Minor,Beech,1900D,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,22.0,IMC,Probable Cause,1999,Beech,22.0,0.0,100.0
46780,20001212X19398,ANC99LA107A,1999-08-07,"KETCHIKAN, AK",United States,Non-Fatal,Substantial,De Havilland,DHC-6-300,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,34.0,VMC,Probable Cause,1999,,34.0,0.0,100.0
46788,20001212X19398,ANC99LA107B,1999-08-07,"KETCHIKAN, AK",United States,Non-Fatal,Minor,De Havilland,DHC-6-300,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,34.0,VMC,Probable Cause,1999,,34.0,0.0,100.0
46847,20001212X19442,CHI99LA289,1999-08-13,"CHICAGO, IL",United States,Non-Fatal,,Aerospatiale,ATR-42-300,2.0,Turbo Prop,Unknown,0.0,1.0,0.0,23.0,VMC,Probable Cause,1999,,24.0,4.166666666666666,95.83333333333334
46905,20001212X19550,LAX99FA273,1999-08-19,"CAVE CREEK, AZ",United States,Non-Fatal,Minor,Balloon Works,FIREFLY 11,,Unknown,Unknown,0.0,1.0,4.0,8.0,VMC,Probable Cause,1999,,13.0,7.6923076923076925,61.53846153846154
46942,20001212X19540,IAD99IA059,1999-08-23,"WASHINGTON, DC",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,171.0,VMC,Probable Cause,1999,Boeing,171.0,0.0,100.0
46975,20001212X19431,CHI99IA350,1999-08-27,"SOUTH BEND, IN",United States,Incident,,British Aerospace,JETSTREAM 3101,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,20.0,VMC,Probable Cause,1999,,20.0,0.0,100.0
47028,20001212X19796,LAX99LA291,1999-09-02,"SANTA BARBARA, CA",United States,Non-Fatal,Minor,Boeing,737-322,2.0,Turbo Fan,Unknown,0.0,1.0,14.0,98.0,VMC,Probable Cause,1999,Boeing,113.0,0.8849557522123894,86.72566371681415
47083,20001212X19826,MIA99IA249,1999-09-09,"NASHVILLE, TN",United States,Incident,Minor,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,3.0,43.0,VMC,Probable Cause,1999,Douglas,46.0,0.0,93.47826086956522
47107,20001212X19822,MIA99FA252,1999-09-12,"WEST PALM BEACH, FL",United States,Non-Fatal,Substantial,Boeing,B737-300,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,89.0,VMC,Probable Cause,1999,Boeing,89.0,0.0,100.0
47108,20001212X19804,LAX99LA302,1999-09-12,"LOS ANGELES, CA",United States,Non-Fatal,Substantial,Boeing,737-322,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,86.0,VMC,Probable Cause,1999,Boeing,86.0,0.0,100.0
47141,20001212X19817,LAX99LA323,1999-09-16,"BEATTY, NV",United States,Non-Fatal,,Airbus Industrie,A-320-231,2.0,Turbo Fan,Unknown,0.0,1.0,10.0,128.0,VMC,Probable Cause,1999,Airbus,139.0,0.7194244604316548,92.08633093525181
47149,20001212X19854,NYC99IA231,1999-09-17,"COVINGTON, KY",United States,Incident,Minor,Mcdonnell Douglas,MD-88,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,118.0,VMC,Probable Cause,1999,Mcdonnell Douglas,118.0,0.0,100.0
47181,20001212X19792,LAX99FA315,1999-09-20,"AGUA CALIENTE, AZ",United States,Non-Fatal,,Boeing,757-2S7,2.0,Turbo Fan,Unknown,0.0,2.0,2.0,173.0,IMC,Probable Cause,1999,Boeing,177.0,1.1299435028248588,97.74011299435028
47217,20001212X19727,DCA99MA088,1999-09-25,"VOLCANO, HI",United States,Fatal(10),Destroyed,Piper,PA-31-350,2.0,Reciprocating,Unknown,10.0,0.0,0.0,0.0,IMC,Probable Cause,1999,,10.0,100.0,0.0
47228,20001212X19842,MIA99LA272,1999-09-27,"ATLANTA, GA",United States,Non-Fatal,,Boeing,767-332,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,201.0,IMC,Probable Cause,1999,Boeing,202.0,0.49504950495049505,99.5049504950495
47242,20001212X19871,NYC99LA240,1999-09-30,"SPARTA, NJ",United States,Non-Fatal,,Airbus Industrie,319-131,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,44.0,VMC,Probable Cause,1999,Airbus,45.0,2.2222222222222223,97.77777777777777
47273,20001212X20030,NYC00LA007,1999-10-06,"PHILADELPHIA, PA",United States,Non-Fatal,Substantial,Boeing - Canada (De Havilland),DHC-8-102,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,15.0,VMC,Probable Cause,1999,Boeing,15.0,0.0,100.0
47311,20001212X19913,CHI00IA009,1999-10-14,"CHICAGO, IL",United States,Incident,,Mcdonnell Douglas,DC-9-51,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,105.0,VMC,Probable Cause,1999,Mcdonnell Douglas,105.0,0.0,100.0
47312,20001212X19989,LAX00LA015,1999-10-15,"PHOENIX, AZ",United States,Non-Fatal,Substantial,Airbus Industrie,A-320-231,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,94.0,VMC,Probable Cause,1999,Airbus,94.0,0.0,100.0
47395,20001212X19914,CHI00IA018,1999-10-28,"CHICAGO, IL",United States,Incident,,Boeing,757-222,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,68.0,VMC,Probable Cause,1999,Boeing,68.0,0.0,100.0
47418,20001212X20060,ANC00IA010,1999-11-02,"JUNEAU, AK",United States,Incident,,Boeing,737-400,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,58.0,VMC,Probable Cause,1999,Boeing,58.0,0.0,100.0
47457,20001212X20175,SEA00IA019,1999-11-11,"PORTLAND, OR",United States,Incident,Minor,Boeing,737-400,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,145.0,UNK,Probable Cause,1999,Boeing,145.0,0.0,100.0
47493,20001212X20152,NYC00IA036,1999-11-20,"JAMAICA, NY",United States,Incident,,Boeing,767-200,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,179.0,VMC,Probable Cause,1999,Boeing,179.0,0.0,100.0
47509,20001212X20164,NYC00LA040,1999-11-27,"FLUSHING, NY",United States,Non-Fatal,Substantial,Boeing,727-232,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,73.0,VMC,Probable Cause,1999,Boeing,73.0,0.0,100.0
47540,20001212X20200,CHI00IA037,1999-12-01,"CHICAGO, IL",United States,Incident,Minor,British Aerospace,BAE 146-200A,4.0,Turbo Fan,Unknown,0.0,0.0,1.0,48.0,UNK,Probable Cause,1999,,49.0,0.0,97.95918367346938
47563,20001212X20224,DEN00IA023,1999-12-06,"SALT LAKE CITY, UT",United States,Incident,Minor,Boeing,767-232,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,85.0,VMC,Probable Cause,1999,Boeing,85.0,0.0,100.0
47648,20001212X20225,DEN00IA032,1999-12-24,"SALT LAKE CITY, UT",United States,Incident,Minor,Boeing,737-347,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,135.0,VMC,Probable Cause,1999,Boeing,135.0,0.0,100.0
47716,20001212X20388,LAX00LA072,2000-01-11,"LAS VEGAS, NV",United States,Non-Fatal,,Boeing,757-2G7,2.0,Turbo Fan,Unknown,0.0,1.0,1.0,42.0,VMC,Probable Cause,2000,Boeing,44.0,2.272727272727273,95.45454545454545
47782,20001212X20339,DCA00MA023,2000-01-31,"Port Hueneme, CA",United States,Fatal(88),Destroyed,Douglas,MD-83,2.0,Turbo Fan,Unknown,88.0,0.0,0.0,0.0,VMC,Probable Cause,2000,Douglas,88.0,100.0,0.0
47783,20001212X20332,CHI00IA087,2000-01-31,"MILWAUKEE, WI",United States,Incident,Minor,Mcdonnell Douglas,DC9-32,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,91.0,UNK,Probable Cause,2000,Mcdonnell Douglas,91.0,0.0,100.0
47794,20001212X20564,NYC00LA097,2000-02-03,"BOSTON, MA",United States,Non-Fatal,,Boeing,737-300,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,59.0,VMC,Probable Cause,2000,Boeing,60.0,1.6666666666666667,98.33333333333333
47844,20001212X20553,NYC00IA078,2000-02-12,"BOSTON, MA",United States,Incident,Minor,Saab-Scania Ab (Saab),340B,2.0,Turbo Prop,Unknown,0.0,0.0,2.0,9.0,VMC,Probable Cause,2000,,11.0,0.0,81.81818181818183
47853,20001212X20517,LAX00LA098,2000-02-14,"RED BLUFF, CA",United States,Non-Fatal,,Fokker,FK-28-4000,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,23.0,VMC,Probable Cause,2000,,24.0,4.166666666666666,95.83333333333334
47886,20001212X20463,CHI00LA076,2000-02-21,"CHICAGO, IL",United States,Non-Fatal,Substantial,Fokker,F28 MK100,2.0,Turbo Fan,Unknown,0.0,1.0,6.0,46.0,VMC,Probable Cause,2000,,53.0,1.8867924528301887,86.79245283018868
47893,20001212X20507,LAX00IA106,2000-02-21,"FRESNO, CA",United States,Incident,,Embraer,120,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,20.0,VMC,Probable Cause,2000,Embraer,20.0,0.0,100.0
47914,20001212X20563,NYC00LA085,2000-02-27,"PROVIDENCE, RI",United States,Non-Fatal,,Boeing,747-236,4.0,Turbo Fan,Unknown,0.0,1.0,11.0,371.0,IMC,Probable Cause,2000,Boeing,383.0,0.26109660574412535,96.8668407310705
47942,20001212X20606,DCA00MA030,2000-03-05,"BURBANK, CA",United States,Non-Fatal,Destroyed,Boeing,737-300,2.0,Turbo Fan,Unknown,0.0,2.0,42.0,98.0,VMC,Probable Cause,2000,Boeing,142.0,1.4084507042253522,69.01408450704226
47957,20001212X20573,ANC00IA034,2000-03-07,"FAIRBANKS, AK",United States,Incident,,Mcdonnell Douglas,MD-83,2.0,Turbo Fan,,0.0,0.0,0.0,117.0,VMC,Probable Cause,2000,Mcdonnell Douglas,117.0,0.0,100.0
47970,20001212X20693,MIA00LA108,2000-03-10,"ATHENS, GA",United States,Non-Fatal,,Aerospatiale,ATR-72-212,2.0,Turbo Prop,Unknown,0.0,1.0,0.0,26.0,VMC,Probable Cause,2000,,27.0,3.7037037037037033,96.29629629629629
47976,20001212X20732,SEA00IA050,2000-03-11,"SEATTLE, WA",United States,Incident,Minor,Mcdonnell Douglas,MD-83,2.0,Turbo Jet,Unknown,0.0,0.0,2.0,91.0,UNK,Probable Cause,2000,Mcdonnell Douglas,93.0,0.0,97.84946236559139
47980,20001212X20648,IAD00IA026,2000-03-12,"BALTIMORE, MD",United States,Incident,Minor,Boeing - Canada (De Havilland),DHC-8-102,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,32.0,VMC,Probable Cause,2000,Boeing,32.0,0.0,100.0
47988,20001212X20664,LAX00IA127,2000-03-13,"SAN FRANCISCO, CA",United States,Incident,Minor,Boeing,727-232,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,77.0,VMC,Probable Cause,2000,Boeing,77.0,0.0,100.0
47998,20001212X20694,MIA00LA109,2000-03-16,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,Cessna,402C,2.0,Reciprocating,Unknown,0.0,0.0,1.0,9.0,VMC,Probable Cause,2000,Cessna,10.0,0.0,90.0
48015,20001212X20700,MIA00LA115,2000-03-18,"MIAMI, FL",United States,Non-Fatal,Minor,Beech,1900,2.0,Turbo Prop,Unknown,0.0,1.0,0.0,22.0,VMC,Probable Cause,2000,Beech,23.0,4.3478260869565215,95.65217391304348
48023,20001212X20609,DEN00FA063,2000-03-20,"DENVER, CO",United States,Non-Fatal,Substantial,Dornier,328-100,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,24.0,VMC,Probable Cause,2000,,24.0,0.0,100.0
48028,20001212X20624,FTW00FA101,2000-03-21,"KILLEEN, TX",United States,Non-Fatal,Substantial,Saab,340B,2.0,Turbo Prop,,0.0,0.0,1.0,35.0,IMC,Probable Cause,2000,,36.0,0.0,97.22222222222221
48047,20001212X20713,NYC00IA100B,2000-03-24,"BOSTON, MA",United States,Incident,Minor,Boeing,727-247,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,202.0,VMC,Probable Cause,2000,Boeing,202.0,0.0,100.0
48048,20001212X20713,NYC00IA100A,2000-03-24,"BOSTON, MA",United States,Incident,Minor,Mcdonnell Douglas,MD-88,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,202.0,VMC,Probable Cause,2000,Mcdonnell Douglas,202.0,0.0,100.0
48092,20001212X20649,IAD00IA032,2000-03-30,"NEW YORK CITY, NY",United States,Incident,,Boeing,767-332,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,225.0,VMC,Probable Cause,2000,Boeing,225.0,0.0,100.0
48103,20001212X20913,SEA00IA062,2000-04-01,"SEATTLE, WA",United States,Incident,,Mcdonnell Douglas,MD-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,145.0,VMC,Probable Cause,2000,Mcdonnell Douglas,145.0,0.0,100.0
48116,20001212X20847,LAX00LA146,2000-04-02,"DALLAS, TX",United States,Non-Fatal,,Boeing,757-2G7,2.0,Turbo Fan,Unknown,0.0,1.0,2.0,196.0,IMC,Probable Cause,2000,Boeing,199.0,0.5025125628140703,98.49246231155779
48247,20001212X20894,NYC00FA122,2000-04-25,"NEWARK, NJ",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,234.0,VMC,Probable Cause,2000,Mcdonnell Douglas,234.0,0.0,100.0
48248,20001212X20788,CHI00LA124,2000-04-25,"HANCOCK, MI",United States,Non-Fatal,Substantial,Saab-Scania Ab (Saab),SF-340B,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,21.0,VMC,Probable Cause,2000,,21.0,0.0,100.0
48251,20001212X20771,CHI00IA125,2000-04-25,"CHICAGO, IL",United States,Incident,,Boeing,777-223ER,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,167.0,VMC,Probable Cause,2000,Boeing,167.0,0.0,100.0
48282,20001212X20896,NYC00IA124,2000-04-30,"WHITE PLAINS, NY",United States,Incident,Minor,Canadair,CL-600-2B19,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,53.0,VMC,Probable Cause,2000,,53.0,0.0,100.0
48284,20001212X20797,DEN00IA080,2000-04-30,"DENVER, CO",United States,Incident,,British Aerospace,BAE 146-200,4.0,Turbo Fan,,0.0,0.0,0.0,20.0,IMC,Probable Cause,2000,,20.0,0.0,100.0
48304,20001212X20972,DEN00FA085,2000-05-05,"MONUMENT VALLEY, UT",United States,Non-Fatal,Substantial,De Havilland,DHC-6-300,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,17.0,VMC,Probable Cause,2000,,17.0,0.0,100.0
48336,20001212X21038,LAX00LA192,2000-05-09,"MAUI, HI",United States,Non-Fatal,Substantial,Lockheed,L1011-385-1,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,370.0,VMC,Probable Cause,2000,Lockheed,370.0,0.0,100.0
48397,20001212X21060,MIA00IA164,2000-05-19,"FORT LAUDERDALE, FL",United States,Incident,Minor,Beech,1900C,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,22.0,VMC,Probable Cause,2000,Beech,22.0,0.0,100.0
48402,20001212X21079,MIA00LA169,2000-05-20,"NASHVILLE, TN",United States,Non-Fatal,,Boeing,737-500,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,123.0,IMC,Probable Cause,2000,Boeing,124.0,0.8064516129032258,99.19354838709677
48411,20020830X01495,DCA00MA052,2000-05-21,"Bear Creek Town, PA",United States,Fatal(19),Destroyed,British Aerospace,J-3101,2.0,Turbo Prop,,19.0,0.0,0.0,0.0,IMC,Probable Cause,2000,,19.0,100.0,0.0
48511,20001212X21299,NYC00IA150,2000-06-03,"ROCHESTER, NY",United States,Incident,Minor,Beech,1900D,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,13.0,VMC,Probable Cause,2000,Beech,13.0,0.0,100.0
48538,20001212X21169,CHI00IA152,2000-06-07,"LAFAYETTE, IN",United States,Incident,,Boeing,767-222,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,165.0,VMC,Probable Cause,2000,Boeing,165.0,0.0,100.0
48561,20001212X21300,NYC00IA159,2000-06-09,"LEXINGTON, KY",United States,Incident,Minor,British Aerospace,BAE JETSTREAM 3201,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,13.0,VMC,Probable Cause,2000,,13.0,0.0,100.0
48577,20001212X21288,MIA00IA186,2000-06-11,"WATSON ISLAND, FL",United States,Incident,Minor,Grumman,G-73T,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,17.0,UNK,Probable Cause,2000,,17.0,0.0,100.0
48580,20001212X21264,LAX00LA223,2000-06-12,"LAS VEGAS, NV",United States,Non-Fatal,Substantial,Airbus Industrie,A320-232,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,152.0,VMC,Probable Cause,2000,Airbus,152.0,0.0,100.0
48593,20001212X21253,LAX00FA229,2000-06-14,"LIHUE, KAUAI, HI",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC-9-51,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,137.0,VMC,Probable Cause,2000,Mcdonnell Douglas,139.0,0.0,98.56115107913669
48725,20001212X21540,MIA00LA206,2000-07-02,"ORLANDO, FL",United States,Non-Fatal,Substantial,Boeing,737-49R,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,128.0,VMC,Probable Cause,2000,Boeing,128.0,0.0,100.0
48823,20001212X21351,ANC00IA088,2000-07-11,"ANCHORAGE, AK",United States,Incident,,Mcdonnell Douglas,MD-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,107.0,VMC,Probable Cause,2000,Mcdonnell Douglas,107.0,0.0,100.0
48888,20001212X21526,LAX00IA272,2000-07-18,"MONTEREY, CA",United States,Incident,,Canadair,CL-65,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,23.0,VMC,Probable Cause,2000,,23.0,0.0,100.0
48920,20001212X21517,LAX00LA277,2000-07-23,"BOULDER CITY, NV",United States,Non-Fatal,Substantial,Piper,PA-31-350,2.0,Reciprocating,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,2000,,10.0,0.0,100.0
48928,20001212X21375,CHI00IA221,2000-07-23,"CHAMPAIGN, IL",United States,Incident,,Aerospatiale,ATR 42-300,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,37.0,VMC,Probable Cause,2000,,37.0,0.0,100.0
48965,20001212X21365,ATL00LA072,2000-07-28,"CHARLESTON, SC",United States,Non-Fatal,Minor,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,2.0,14.0,53.0,VMC,Probable Cause,2000,Boeing,69.0,2.898550724637681,76.81159420289855
48986,20001212X21420,CHI00LA269,2000-07-31,"CHICAGO, IL",United States,Non-Fatal,,Boeing,737-322,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,117.0,VMC,Probable Cause,2000,Boeing,118.0,0.847457627118644,99.15254237288136
49030,20001212X21663,CHI00IA248B,2000-08-06,"CHICAGO, IL",United States,Incident,,Boeing,B-747-422,4.0,Unknown,Unknown,0.0,0.0,0.0,363.0,VMC,Probable Cause,2000,Boeing,363.0,0.0,100.0
49031,20001212X21663,CHI00IA248A,2000-08-06,"CHICAGO, IL",United States,Incident,,Aerospatiale,ATR-42-2000,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,363.0,VMC,Probable Cause,2000,,363.0,0.0,100.0
49035,20001212X21701,DCA00MA079,2000-08-08,"GREENSBORO, NC",United States,Non-Fatal,Substantial,Douglas,DC-9-32,2.0,Turbo Jet,Unknown,0.0,0.0,13.0,50.0,VMC,Probable Cause,2000,Douglas,63.0,0.0,79.36507936507937
49049,20001212X21702,DCA00MA080B,2000-08-09,"BURLINGTON TWP., NJ",United States,Fatal(11),Destroyed,Piper,PA-44 SEMINOLE,,Unknown,Instructional,11.0,0.0,0.0,0.0,VMC,Probable Cause,2000,,11.0,100.0,0.0
49050,20001212X21702,DCA00MA080A,2000-08-09,"BURLINGTON TWP., NJ",United States,Fatal(11),Destroyed,Piper,PA-31 NAVAJO,2.0,Unknown,Unknown,11.0,0.0,0.0,0.0,VMC,Probable Cause,2000,,11.0,100.0,0.0
49082,20001212X21726,FTW00IA228,2000-08-12,"San Angelo, TX",United States,Incident,,Embraer,EMB-120ER,2.0,Turbo Prop,,0.0,0.0,1.0,22.0,VMC,Probable Cause,2000,Embraer,23.0,0.0,95.65217391304348
49115,20001212X21656,CHI00FA244,2000-08-16,"CHICAGO, IL",United States,Non-Fatal,Substantial,Boeing,727-264,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,105.0,VMC,Probable Cause,2000,Boeing,105.0,0.0,100.0
49131,20001212X21828,NYC00IA231,2000-08-17,"NORFOLK, VA",United States,Incident,,Fokker,F-100,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,58.0,VMC,Probable Cause,2000,,58.0,0.0,100.0
49175,20001212X21686,CHI00LA268,2000-08-22,"BARABOO, WI",United States,Non-Fatal,,Boeing,777-223,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,250.0,IMC,Probable Cause,2000,Boeing,251.0,0.398406374501992,99.60159362549801
49285,20001212X22049,NYC00IA250,2000-09-05,"NEWARK, NJ",United States,Incident,Minor,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,244.0,VMC,Probable Cause,2000,Mcdonnell Douglas,244.0,0.0,100.0
49291,20001212X21950,DEN00LA165,2000-09-06,"SHERIDAN, WY",United States,Non-Fatal,,Gulfstream,G-IV,2.0,Turbo Fan,Personal,0.0,1.0,0.0,11.0,VMC,Probable Cause,2000,Gulfstream,12.0,8.333333333333332,91.66666666666666
