,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Manufacturer,Year
36964,20001207X03134,LAX95FA144,1995-03-25,"KAHULUI, MAUI, HI",United States,Fatal(1),Destroyed,Cessna,310Q,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1995
36965,20001207X03186,NYC95LA078,1995-03-25,"COVINGTON, KY",United States,Non-Fatal,Substantial,Beech,1900C,2.0,Turbo Prop,Unknown,0.0,1.0,0.0,19.0,VMC,Probable Cause,Beech,1995
37008,20001207X03282,FTW95LA154,1995-04-02,"SPRINGDALE, AR",United States,Non-Fatal,Substantial,Beech,G18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1995
37017,20001207X03280,FTW95IA156,1995-04-03,"DFW AIRPORT, TX",United States,Incident,Minor,Boeing,727-276,3.0,Turbo Jet,Unknown,0.0,0.0,2.0,158.0,VMC,Probable Cause,Boeing,1995
37034,20001207X03252,CHI95IA119,1995-04-07,"CHICAGO, IL",United States,Incident,Minor,Boeing,737-222,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,116.0,VMC,Probable Cause,Boeing,1995
37036,20001207X03380,SEA95LA076A,1995-04-07,"BOISE, ID",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
37067,20001207X03225,ATL95LA082,1995-04-11,"SAVANNAH, GA",United States,Non-Fatal,Substantial,Cessna,337G,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
37072,20001207X03248,CHI95FA124,1995-04-12,"GREAT BEND, ND",United States,Fatal(1),Destroyed,Beech,65-B80,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1995
37078,20001207X03295,FTW95LA170,1995-04-13,"DENVER, CO",United States,Non-Fatal,Substantial,Boeing,737-400,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,147.0,VMC,Probable Cause,Boeing,1995
37081,20001207X03335,MIA95FA107,1995-04-14,"DAYTONA BEACH, FL",United States,Fatal(2),Destroyed,Beech,55-E55,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
37110,20001207X03209,ANC95LA046,1995-04-17,"KIVALINA, AK",United States,Non-Fatal,Substantial,Douglas,C54GDC,4.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Douglas,1995
37118,20001207X03250,CHI95FA128,1995-04-19,"COFFEYVILLE, KS",United States,Fatal(3),Destroyed,Cessna,T337G,2.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1995
37128,20001207X03276,FTW95FA177,1995-04-21,"CHEYENNE, WY",United States,Fatal(1),Destroyed,Beech,60,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1995
37145,20001207X03338,MIA95FA117,1995-04-23,"PLANT CITY, FL",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Probable Cause,Beech,1995
37174,20001207X03304,FTW95LA183,1995-04-28,"DALLAS, TX",United States,Non-Fatal,Substantial,Cessna,340A,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
37178,20001207X03351,MIA95LA123,1995-04-29,"LEAKESVILLE, MS",United States,Non-Fatal,Substantial,Beech,B95,2.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Probable Cause,Beech,1995
37190,20001207X03422,CHI95IA142,1995-05-01,"CHICAGO, IL",United States,Incident,Minor,Mcdonnell Douglas,DC10-10,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,192.0,VMC,Probable Cause,Mcdonnell Douglas,1995
37196,20001207X03527,NYC95LA098,1995-05-02,"COLUMBUS, OH",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Probable Cause,Beech,1995
37230,20001207X03521,NYC95FA105,1995-05-09,"OLNEY, IL",United States,Fatal(2),Destroyed,Beech,BE60,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1995
37243,20001207X03564,SEA95LA099,1995-05-12,"SEQUIM, WA",United States,Non-Fatal,Substantial,Cessna,310K,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,VMC,Probable Cause,Cessna,1995
37248,20001207X03525,NYC95IA106,1995-05-13,"LOUISVILLE, KY",United States,Incident,Minor,Douglas,DC-8-71,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Douglas,1995
37250,20001207X03533,NYC95LA108,1995-05-13,"ARARAT, PA",United States,Non-Fatal,Substantial,Cessna,310J,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1995
37252,20001207X03455,FTW95LA200,1995-05-13,"NORMAN, OK",United States,Non-Fatal,Substantial,Beech,D55,2.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1995
37280,20001207X03526,NYC95IA114B,1995-05-19,"NEWARK, NJ",United States,Incident,Minor,Boeing,737-500,2.0,Turbo Fan,Unknown,,,,288.0,VMC,Probable Cause,Boeing,1995
37281,20001207X03526,NYC95IA114A,1995-05-19,"NEWARK, NJ",United States,Incident,Minor,Boeing,767-383ER,2.0,Turbo Fan,,,,,288.0,VMC,Probable Cause,Boeing,1995
37322,20001207X03470,FTW95LA216,1995-05-23,"ROGERS, AR",United States,Non-Fatal,Substantial,Gates Learjet,35A,2.0,Turbo Jet,Executive/corporate,0.0,0.0,0.0,7.0,VMC,Probable Cause,Learjet,1995
37325,20001207X03512,MIA95LA135,1995-05-24,"WEST PALM BEACH, FL",United States,Non-Fatal,Substantial,Boeing,727-232,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,136.0,VMC,Probable Cause,Boeing,1995
37330,20001207X03522,NYC95FA123,1995-05-25,"WISE, VA",United States,Fatal(2),Destroyed,Beech,95-A55,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
37346,20001207X03437,CHI95LA164,1995-05-27,"LEMMON, SD",United States,Non-Fatal,Substantial,Cessna,337B,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1995
37353,20001207X03412,ATL95LA100,1995-05-28,"TUSKEEGEE, AL",United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1995
37389,20001207X03655,CHI95LA170,1995-06-03,"ST PAUL, MN",United States,Non-Fatal,Substantial,Airbus Industrie,A-320-211,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,115.0,VMC,Probable Cause,Airbus,1995
37410,20001207X03592,ANC95LA084,1995-06-05,"MCGRATH, AK",United States,Non-Fatal,Substantial,Lockheed,L-382E,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Lockheed,1995
37427,20001207X03623,ATL95MA106,1995-06-08,"ATLANTA, GA",United States,Non-Fatal,Substantial,Douglas,DC-9-32,2.0,Turbo Jet,Unknown,0.0,1.0,6.0,55.0,VMC,Probable Cause,Douglas,1995
37468,20001207X03587,ANC95LA077,1995-06-12,"TUNTUTULIAK, AK",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Probable Cause,Cessna,1995
37533,20001207X03733,LAX95GA219B,1995-06-21,"RAMONA, CA",United States,Fatal(3),Destroyed,Beech,58P,2.0,Reciprocating,Public Aircraft,3.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
37534,20001207X03733,LAX95GA219A,1995-06-21,"RAMONA, CA",United States,Fatal(3),Destroyed,Douglas,C-54G,4.0,Reciprocating,Public Aircraft,3.0,0.0,0.0,0.0,VMC,Probable Cause,Douglas,1995
37538,20001207X03751,LAX95LA220,1995-06-21,"HENDERSON, NV",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
37550,20001207X03767,MIA95FA155,1995-06-23,"MIAMI, FL",United States,Non-Fatal,Destroyed,Cessna,402A,2.0,Reciprocating,Positioning,0.0,1.0,0.0,0.0,VMC,Probable Cause,Cessna,1995
37551,20001207X03766,MIA95FA154,1995-06-23,"ORLANDO, FL",United States,Fatal(2),Destroyed,Beech,58,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1995
37570,20001207X03679,CHI95LA199,1995-06-24,"CRAWFORDSVILLE, IN",United States,Non-Fatal,Substantial,Cessna,310L,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1995
37587,20001207X03721,FTW95LA264,1995-06-26,"ALAMOSA, CO",United States,Non-Fatal,Substantial,Cessna,404,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
37617,20001207X03734,LAX95IA229,1995-06-29,"ELKO, NV",United States,Incident,Minor,Boeing,737-200,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,84.0,VMC,Probable Cause,Boeing,1995
37635,20001207X04044,NYC95LA139,1995-07-01,"BRANT, NY",United States,Non-Fatal,Substantial,Cessna,337G,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
37639,20001207X03987,LAX95LA232,1995-07-01,"VAN NUYS, CA",United States,Non-Fatal,Substantial,Cessna,401A,2.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Probable Cause,Cessna,1995
37662,20001207X03986,LAX95IA246,1995-07-04,"LAS VEGAS, NV",United States,Incident,Minor,Boeing,727-257,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,53.0,VMC,Probable Cause,Boeing,1995
37688,20001207X03887,CHI95LA210,1995-07-06,"WHEELING, IL",United States,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1995
37729,20001207X04057,NYC95LA153,1995-07-11,"COLUMBUS, OH",United States,Non-Fatal,Destroyed,Cessna,310R,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
37750,20001207X03864,ATL95LA132,1995-07-12,"RIDGELAND, SC",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
37755,20001207X03929,FTW95FA294,1995-07-13,"ALAMOSA, CO",United States,Non-Fatal,Destroyed,Cessna,310D,2.0,Reciprocating,Business,0.0,1.0,1.0,0.0,VMC,Probable Cause,Cessna,1995
37795,20001207X04003,LAX95LA255,1995-07-17,"LOS ANGELES, CA",United States,Non-Fatal,Substantial,Embraer,EMB-120 RT,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,VMC,Probable Cause,Embraer,1995
37809,20001207X03923,CHI95LA254,1995-07-18,"DELAVAN, WI",United States,Non-Fatal,Substantial,Beech,55,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1995
37812,20001207X04039,NYC95FA167,1995-07-19,"INDEPENDENCE, NY",United States,Fatal(1),Destroyed,Douglas,DC-3,2.0,Reciprocating,Ferry,1.0,1.0,0.0,0.0,VMC,Probable Cause,Douglas,1995
37816,20001207X04066,NYC95LA165,1995-07-19,"BUFFALO, NY",United States,Non-Fatal,Substantial,Cessna,310Q,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
37862,20001207X03970,FTW95LA316,1995-07-24,"ENGLEWOOD, CO",United States,Non-Fatal,Substantial,Gulfstream,GV-1,2.0,Turbo Jet,Business,0.0,0.0,0.0,9.0,VMC,Probable Cause,Gulfstream,1995
37875,20001207X03912,CHI95LA240,1995-07-26,"MINNEAPOLIS, MN",United States,Non-Fatal,Substantial,Cessna,550,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1995
37889,20001207X03934,FTW95FA319A,1995-07-28,"DALLAS, TX",United States,Non-Fatal,Minor,Boeing,737-3A4,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,99.0,VMC,Probable Cause,Boeing,1995
37893,20001207X03934,FTW95FA319B,1995-07-28,"DALLAS, TX",United States,Non-Fatal,Substantial,Cessna,401,2.0,Reciprocating,Unknown,0.0,0.0,0.0,99.0,VMC,Probable Cause,Cessna,1995
37904,20001207X03848,ANC95LA119,1995-07-29,"CORDOVA, AK",United States,Fatal(4),Destroyed,Cessna,421C,2.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
37954,20001207X04323,MIA95LA196,1995-08-05,"ORLANDO, FL",United States,Non-Fatal,Substantial,Boeing,727-264,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,165.0,VMC,Probable Cause,Boeing,1995
38004,20001207X04337,MIA95TA199,1995-08-10,"RAIFORD, FL",United States,Non-Fatal,Substantial,Cessna,404,2.0,Reciprocating,Public Aircraft,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1995
38044,20001207X04341,NYC95FA188,1995-08-13,"MAPLETON, ME",United States,Fatal(1),Destroyed,Beech,58,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
38053,20001207X04344,NYC95IA192,1995-08-14,"JAMAICA, NY",United States,Incident,Minor,Boeing,747-130,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,436.0,VMC,Probable Cause,Boeing,1995
38068,20001207X04167,BFO95LA081,1995-08-15,"MANSFIELD, OH",United States,Non-Fatal,Destroyed,Beech,55,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1995
38073,20001207X04212,CHI95LA289,1995-08-15,"SALINA, KS",United States,Non-Fatal,Substantial,Beech,B-60,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,IMC,Probable Cause,Beech,1995
38078,20001207X04342,NYC95FA195,1995-08-16,"ALTOONA, PA",United States,Fatal(2),Destroyed,Cessna,310R,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1995
38088,20001207X04271,LAX95FA297,1995-08-17,"KINGSBURG, CA",United States,Fatal(2),Destroyed,Beech,D55,2.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
38096,20001207X04228,FTW95IA348,1995-08-18,"LUBBOCK, TX",United States,Incident,Minor,Boeing,737-3H4,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,114.0,VMC,Probable Cause,Boeing,1995
38100,20001207X04392,SEA95LA194,1995-08-18,"CRESWELL, OR",United States,Non-Fatal,Substantial,Cessna,421,2.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Probable Cause,Cessna,1995
38126,20001207X04210,CHI95LA287,1995-08-20,"ANDERSON, IN",United States,Non-Fatal,Substantial,Beech,65-B80,2.0,Reciprocating,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,Beech,1995
38132,20001207X04223,DCA95MA054,1995-08-21,"CARROLLTON, GA",United States,Fatal(8),Destroyed,Embraer,EMB-120RT,2.0,Turbo Prop,Unknown,8.0,13.0,8.0,0.0,VMC,Probable Cause,Embraer,1995
38134,20001207X04360,NYC95LA201,1995-08-21,"MONTICELLO, NY",United States,Non-Fatal,Substantial,Cessna,310B,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
38153,20001207X04312,LAX95TA304,1995-08-23,"AUBEERY, CA",United States,Non-Fatal,Substantial,Douglas,C-54G,4.0,Reciprocating,Public Aircraft,0.0,0.0,0.0,2.0,VMC,Probable Cause,Douglas,1995
38154,20001207X04268,FTW95LA372,1995-08-23,"GUNNISON, CO",United States,Non-Fatal,Substantial,Cessna,320,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Cessna,1995
38184,20001207X04308,LAX95LA315,1995-08-27,"CHINLE, AZ",United States,Non-Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Positioning,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
38193,20001207X04336,MIA95LA217,1995-08-28,"CARTHAGE, MS",United States,Non-Fatal,Substantial,Cessna,337D,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
38199,20001207X04177,BFO95LA094,1995-08-29,"COLUMBIANA, OH",United States,Non-Fatal,Destroyed,Cessna,310K,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Cessna,1995
38221,20001207X04511,LAX95FA321,1995-09-02,"PHOENIX, AZ",United States,Fatal(2),Destroyed,Cessna,421C,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1995
38222,20001207X04510,LAX95FA319,1995-09-02,"BEAVER DAM, AZ",United States,Fatal(8),Destroyed,Cessna,421C,2.0,Reciprocating,Executive/corporate,8.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1995
38262,20001207X04545,MIA95LA218,1995-09-06,"MIAMI, FL",United States,Non-Fatal,Substantial,Boeing,737-4Q8,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,78.0,VMC,Probable Cause,Boeing,1995
38270,20001207X04495,FTW95LA382,1995-09-07,"ALBUQUERQUE, NM",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Probable Cause,Cessna,1995
38293,20001207X04585,NYC95MA220,1995-09-10,"WEST POINT, VA",United States,Fatal(12),Destroyed,Beech,65,2.0,Reciprocating,Skydiving,12.0,,,,VMC,Probable Cause,Beech,1995
38364,20001207X04441,CHI95FA328,1995-09-21,"COLDWATER, MI",United States,Fatal(1),Destroyed,Cessna,421B,2.0,Reciprocating,Executive/corporate,1.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
38388,20001207X04417,ATL95FA173,1995-09-24,"LEXINGTON, MS",United States,Fatal(2),Destroyed,Cessna,310P,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
38397,20001207X04613,SEA95LA226,1995-09-25,"RIVERTON, WY",United States,Non-Fatal,Substantial,Cessna,340,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
38405,20001207X04542,MIA95FA239,1995-09-27,"GREER, SC",United States,Fatal(1),Destroyed,Beech,58,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
38427,20001207X04559,MIA95LA241,1995-09-29,"OKEECHOBEE, FL",United States,Non-Fatal,Substantial,Beech,D50E,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1995
38451,20001207X04643,BFO96LA002,1995-10-04,"ANNAPOLIS, MD",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1995
38501,20001207X04665,CHI96LA011,1995-10-13,"CEDAR RAPIDS, IA",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC-9-31,2.0,Turbo Fan,,0.0,0.0,0.0,2.0,VMC,Probable Cause,Mcdonnell Douglas,1995
38545,20001207X04656,CHI96FA017,1995-10-21,"BATTLE CREEK, MI",United States,Fatal(1),Destroyed,Cessna,421C,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1995
38554,20001207X04713,FTW96TA021,1995-10-22,"ALBUQUERQUE, NM",United States,Non-Fatal,Substantial,Beech,95,2.0,Reciprocating,Public Aircraft,0.0,0.0,0.0,3.0,VMC,Probable Cause,Beech,1995
38561,20001207X04748,MIA96FA013,1995-10-23,"MIAMI, FL",United States,Non-Fatal,Substantial,Boeing,747-121,4.0,Turbo Fan,,0.0,0.0,0.0,5.0,VMC,Probable Cause,Boeing,1995
38577,20001207X04682,FTW96FA027,1995-10-26,"PAINT ROCK, TX",United States,Fatal(1),Destroyed,Beech,65-B80,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
38584,20001207X04684,FTW96FA030,1995-10-27,"TULSA, OK",United States,Fatal(1),Destroyed,Beech,95-B95,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1995
38586,20001207X04781,NYC96LA020,1995-10-27,"GRT BARRINGTON, MA",United States,Non-Fatal,Substantial,Cessna,414A,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
38607,20001207X04744,LAX96LA034,1995-10-30,"BOULDER CITY, NV",United States,Non-Fatal,Substantial,Cessna,310C,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1995
38617,20001207X04911,NYC96IA022,1995-11-02,"PORTLAND, ME",United States,Incident,Minor,Boeing,737-3B7,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,62.0,IMC,Probable Cause,Boeing,1995
38625,20001207X04822,CHI96LA025,1995-11-03,"WICHITA, KS",United States,Non-Fatal,Substantial,Beech,A90,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Beech,1995
38627,20001207X04892,MIA96LA017,1995-11-03,"FAYETTEVILLE, NC",United States,Non-Fatal,Substantial,Boeing,B-17G,4.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Probable Cause,Boeing,1995
38628,20001207X04873,LAX96LA039,1995-11-03,"REDWOOD CITY, CA",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Probable Cause,Cessna,1995
38658,20001207X04825,CHI96LA028,1995-11-11,"ROMEO, MI",United States,Non-Fatal,Substantial,Cessna,421,2.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Probable Cause,Cessna,1995
38660,20001207X04839,DCA96MA008,1995-11-12,"EAST GRANBY, CT",United States,Non-Fatal,Substantial,Mcdonnell Douglas,MD-83,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,77.0,IMC,Probable Cause,Mcdonnell Douglas,1995
38665,20001207X04814,BFO96LA021,1995-11-13,"MANASSAS, VA",United States,Non-Fatal,Destroyed,Beech,E55,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1995
38678,20001207X04802,ATL96LA011,1995-11-16,"PEACHTREE CITY, GA",United States,Non-Fatal,Substantial,Cessna,421,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
38679,20001207X04877,LAX96LA047,1995-11-17,"JACKSON, CA",United States,Non-Fatal,Destroyed,Beech,D-50,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1995
38689,20001207X04808,BFO96FA022,1995-11-19,"CLEVELAND, OH",United States,Fatal(3),Destroyed,Beech,58,2.0,Reciprocating,Personal,3.0,2.0,0.0,0.0,VMC,Probable Cause,Beech,1995
38711,20001207X04853,FTW96LA051,1995-11-23,"ENGLEWOOD, CO",United States,Non-Fatal,Substantial,Cessna,310J,2.0,Reciprocating,Personal,0.0,0.0,3.0,3.0,VMC,Probable Cause,Cessna,1995
38733,20001207X04836,CHI96LA042,1995-11-26,"PONTIAC, MI",United States,Non-Fatal,Substantial,Cessna,T337G,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1995
38740,20011127X02295,NYC96FA192,1995-11-28,"Marlinton, WV",United States,Fatal(1),Destroyed,Cessna,414,2.0,Reciprocating,Positioning,1.0,,,,IMC,Probable Cause,Cessna,1995
38742,20001207X04906,MIA96LA031,1995-11-28,"CLEVELAND, TN",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Business,0.0,1.0,4.0,1.0,IMC,Probable Cause,Cessna,1995
38743,20001207X04838,CHI96LA047,1995-11-28,"MICHIGAN CITY, IN",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1995
38749,20001207X04859,FTW96LA057,1995-11-30,"LOVELAND, CO",United States,Non-Fatal,Destroyed,Beech,D18S,2.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,VMC,Probable Cause,Beech,1995
38776,20001207X04942,ATL96FA017,1995-12-05,"AVON PARK, FL",United States,Fatal(2),Destroyed,Cessna,402A,2.0,Reciprocating,Other Work Use,2.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
38779,20001207X05066,NYC96IA036,1995-12-06,"JAMAICA, NY",United States,Incident,Minor,Boeing,747-240,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,255.0,VMC,Probable Cause,Boeing,1995
38786,20001207X05080,SEA96IA027,1995-12-07,"BOISE, ID",United States,Incident,Minor,Boeing,727-232,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,130.0,IMC,Probable Cause,Boeing,1995
38788,20001207X05016,LAX96FA067,1995-12-07,"SAN DIMAS, CA",United States,Fatal(1),Destroyed,Cessna,340A,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
38792,20001207X05002,FTW96LA064,1995-12-08,"FORT WORTH, TX",United States,Non-Fatal,Substantial,Cessna,310D,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1995
38795,20001207X04973,CHI96LA050,1995-12-10,"EDEN PRAIRIE, MN",United States,Non-Fatal,Substantial,Beech,B90,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1995
38810,20001207X05077,SEA96FA029,1995-12-13,"MEAD, WA",United States,Fatal(1),Destroyed,Cessna,340A,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
38838,20001207X05007,FTW96LA074,1995-12-18,"INGLESIDE, TX",United States,Non-Fatal,Substantial,Beech,200,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1995
38839,20001207X04937,ANC96LA020,1995-12-18,"NOME, AK",United States,Non-Fatal,Substantial,Beech,G18S,2.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1995
38848,20001207X04955,BFO96FA032,1995-12-20,"BELLVILLE, OH",United States,Fatal(3),Destroyed,Cessna,310R,2.0,Reciprocating,Instructional,3.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
38850,20001207X04988,DCA96MA029,1995-12-20,"JAMAICA, NY",United States,Non-Fatal,Substantial,Boeing,747-136,4.0,Turbo Fan,Unknown,0.0,1.0,24.0,443.0,IMC,Probable Cause,Boeing,1995
38852,20001207X04997,FTW96FA073,1995-12-21,"CLEVELAND, OK",United States,Fatal(6),Destroyed,Cessna,421C,2.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1995
38856,20001207X04979,CHI96LA057,1995-12-22,"MINNEAPOLIS, MN",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,IMC,Probable Cause,Beech,1995
